table_name,ordinal_position,column_name,data_type,is_nullable,column_default
lms_assessmentmapping,19,lti_ags_lineitem_url,character varying,NO,
lms_assessmentmapping,20,lti_ags_lineitems_url,character varying,NO,
lms_ltiuseridentity,1,id,bigint,NO,
lms_ltiuseridentity,2,issuer,character varying,NO,
lms_ltiuseridentity,3,deployment_id,character varying,NO,
lms_ltiuseridentity,4,lti_user_id,character varying,NO,
lms_ltiuseridentity,5,created_at,timestamp with time zone,NO,
lms_ltiuseridentity,6,updated_at,timestamp with time zone,NO,
lms_ltiuseridentity,7,user_id,integer,NO,
module,1,id,uuid,NO,
module,2,module_code,character varying,NO,
module,3,module_name,character varying,NO,
module,4,description,text,NO,
module,5,is_active,boolean,NO,
module,6,created_at,timestamp with time zone,NO,
module,7,updated_at,timestamp with time zone,NO,
module,8,qualification_id,uuid,NO,
module_assignment,1,level,character varying,NO,
module_assignment,2,id,uuid,NO,
module_assignment,3,assignment_code,character varying,NO,
module_assignment,4,assignment_title,character varying,NO,
module_assignment,5,skill_statement_code,character varying,NO,
module_assignment,6,skill_statement,text,NO,
module_assignment,7,objective,text,NO,
module_assignment,8,maximum_score,numeric,NO,
module_assignment,9,minimum_pass_score,numeric,NO,
module_assignment,10,is_summative,boolean,NO,
module_assignment,11,contributes_to_final_mark,boolean,NO,
module_assignment,12,final_mark_weight,numeric,NO,
module_assignment,13,is_active,boolean,NO,
module_assignment,14,created_at,timestamp with time zone,NO,
module_assignment,15,updated_at,timestamp with time zone,NO,
module_assignment,16,grading_configuration_id,uuid,YES,
module_assignment,17,module_id,uuid,NO,
prompt,1,id,uuid,NO,
prompt,2,stage,character varying,NO,
prompt,3,prompt_text,text,NO,
prompt,4,prompt_payload,jsonb,NO,
prompt,5,created_at,timestamp with time zone,NO,
prompt,6,submission_id,uuid,YES,
qualification,1,id,uuid,NO,
qualification,2,qualification_code,character varying,NO,
qualification,3,qualification_name,character varying,NO,
qualification,4,description,text,NO,
qualification,5,is_active,boolean,NO,
qualification,6,created_at,timestamp with time zone,NO,
